epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1330.87,0.27024,0.20445,0.81492,0.95079,0.9391,0.98099,0.90245,0.38272,0.24451,0.81511,0.000990365,0.000990365,0.000990365
43,1360.55,0.26759,0.20126,0.8135,0.93595,0.92837,0.976,0.89735,0.38708,0.26738,0.8152,0.000973861,0.000973861,0.000973861
44,1392.13,0.26497,0.19659,0.81403,0.92158,0.93035,0.96485,0.89152,0.37861,0.28429,0.81371,0.000957358,0.000957358,0.000957358
45,1421.56,0.26577,0.19942,0.81319,0.94474,0.92062,0.96476,0.89026,0.37927,0.26927,0.81278,0.000940855,0.000940855,0.000940855
46,1451.79,0.26596,0.20161,0.81442,0.94776,0.94174,0.97615,0.89681,0.3908,0.24274,0.81835,0.000924352,0.000924352,0.000924352
47,1480.92,0.26213,0.19701,0.81294,0.94664,0.92061,0.97494,0.90053,0.37714,0.25542,0.81274,0.000907848,0.000907848,0.000907848
48,1510.64,0.25992,0.19666,0.81222,0.95573,0.9416,0.9764,0.90065,0.37916,0.24237,0.81447,0.000891345,0.000891345,0.000891345
49,1540.52,0.25685,0.19416,0.80957,0.9115,0.92421,0.96273,0.88463,0.38307,0.30878,0.81812,0.000874842,0.000874842,0.000874842
50,1571.17,0.25578,0.19345,0.81089,0.95905,0.93278,0.97501,0.89827,0.38532,0.2459,0.81724,0.000858338,0.000858338,0.000858338
51,1601.09,0.25391,0.18865,0.81086,0.94674,0.94051,0.97491,0.90006,0.38231,0.24521,0.81586,0.000841835,0.000841835,0.000841835
52,1631.38,0.24955,0.18684,0.80965,0.94122,0.92749,0.9757,0.89724,0.39265,0.25712,0.81739,0.000825332,0.000825332,0.000825332
53,1662.26,0.2519,0.1884,0.81176,0.93973,0.93474,0.97628,0.90025,0.38429,0.25529,0.81442,0.000808828,0.000808828,0.000808828
54,1693.26,0.24817,0.18654,0.81079,0.94078,0.92517,0.9738,0.89568,0.38679,0.26164,0.81478,0.000792325,0.000792325,0.000792325
55,1723.66,0.24686,0.18412,0.80877,0.94228,0.94203,0.97611,0.90087,0.38189,0.24717,0.81604,0.000775822,0.000775822,0.000775822
56,1754.87,0.24714,0.18355,0.80804,0.9513,0.91348,0.97431,0.89838,0.38027,0.25795,0.8157,0.000759318,0.000759318,0.000759318
57,1785.41,0.24527,0.18232,0.80894,0.9408,0.93962,0.97238,0.89527,0.38752,0.25424,0.81811,0.000742815,0.000742815,0.000742815
58,1816.17,0.24266,0.18046,0.80915,0.93091,0.93636,0.97293,0.89768,0.37924,0.26331,0.81404,0.000726312,0.000726312,0.000726312
59,1847.6,0.2409,0.1789,0.80766,0.92754,0.93563,0.97344,0.90165,0.37441,0.26984,0.81405,0.000709809,0.000709809,0.000709809
60,1879.86,0.23862,0.17743,0.80788,0.93718,0.93189,0.96838,0.8917,0.39246,0.2638,0.81771,0.000693305,0.000693305,0.000693305
61,1910.23,0.23732,0.1765,0.80727,0.93266,0.93251,0.9688,0.89508,0.37893,0.26481,0.81445,0.000676802,0.000676802,0.000676802
62,1940.57,0.23662,0.17522,0.80677,0.9315,0.92433,0.96528,0.89278,0.37645,0.27657,0.81407,0.000660299,0.000660299,0.000660299
