prefix,num_frames,true_t50_h,pred_t50_h,t50_abs_error_h
zm1_12,97,34.5,39.70967741935484,5.20967741935484
zm1_2,97,47.333333333333336,,
zm1_9,97,32.0,33.5,1.5
zm2_10,97,28.25,27.0,1.25
zm2_11,97,27.0,30.15625,3.15625
zm2_3,97,28.5,28.75,0.25
zm3_2,97,34.0,32.0,2.0
zm3_5,97,22.5,21.5,1.0
zm3_9,97,,,
zm5_4,97,35.0,35.25,0.25
zm6_7,97,34.5,34.75,0.25
zm7_7,97,32.75,31.5,1.25
